target_age,current_age,model,n_samples,bmi_mae,bmi_rmse,class_accuracy,z_correlation,z_score_actual_mean,z_score_actual_std,z_score_pred_mean,z_score_pred_std
18,12,LinearRegression,224,3.0157142857142856,3.7375641418289685,0.96875,0.6842313997737558,-2.8811160714285715,1.9696501014753127,-5.7428125,3.275608127920813
18,12,SVR,225,2.902711111111111,3.7624657990324493,0.9688888888888889,0.5837076759326236,-2.8913333333333338,1.9711016660177063,-5.670133333333332,3.1185249333619254
18,12,MLP,224,3.0508482142857143,3.7884893215219324,0.9508928571428571,0.676654345768503,-2.88125,1.9697496328395214,-5.7234375,3.375183760291668
18,12,XGB,224,3.022232142857143,3.7425158650298327,0.9732142857142857,0.6845109654879526,-2.8811160714285715,1.9696501014753127,-5.751651785714286,3.273006405786313
18,12,LinearRegression,297,3.141784511784512,4.047769015980779,0.8013468013468014,0.05619024333038147,-3.7686531986531984,2.1152408792787463,-4.7045117845117845,3.44278211151527
18,12,SVR,304,3.146578947368421,4.063082185005031,0.7927631578947368,0.033289295152239065,-3.771315789473684,2.106957673309816,-4.683223684210526,3.423154151466483
18,12,MLP,295,3.1538305084745764,4.064283287871035,0.7898305084745763,0.04491146817540801,-3.754169491525424,2.1149432588657726,-4.674508474576271,3.4427325094006527
18,12,XGB,297,3.141144781144781,4.048495834074492,0.8013468013468014,0.05671449364868816,-3.7686531986531984,2.1152408792787463,-4.714309764309765,3.442042442127398
18,12,LinearRegression,297,3.141784511784512,4.047769015980779,0.8013468013468014,0.05619024333038147,-3.7686531986531984,2.1152408792787463,-4.7045117845117845,3.44278211151527
18,12,SVR,304,3.146578947368421,4.063082185005031,0.7927631578947368,0.033289295152239065,-3.771315789473684,2.106957673309816,-4.683223684210526,3.423154151466483
18,12,MLP,295,3.1538305084745764,4.064283287871035,0.7898305084745763,0.04491146817540801,-3.754169491525424,2.1149432588657726,-4.674508474576271,3.4427325094006527
18,12,XGB,297,3.141144781144781,4.048495834074492,0.8013468013468014,0.05671449364868816,-3.7686531986531984,2.1152408792787463,-4.714309764309765,3.442042442127398
18,12,LinearRegression,295,2.9069830508474572,3.714473751991968,0.7966101694915254,0.18029357466491486,-3.8120677966101693,2.145164715452072,-4.298779661016948,3.4047517944718386
18,12,SVR,314,2.7588535031847132,3.583945891453475,0.856687898089172,0.16148839954742977,-3.7417515923566875,2.07289570732656,-4.7469745222929935,3.1004953507033437
18,12,MLP,292,2.710445205479452,3.5062711430759492,0.8013698630136986,0.183834601784417,-3.78167808219178,2.119264926307179,-3.976712328767123,3.2032037920937246
18,12,XGB,296,2.922195945945946,3.7329452269712675,0.8006756756756757,0.18326913046723284,-3.8146283783783788,2.141989602330498,-4.338783783783784,3.430014361605227
18,12,LinearRegression,295,2.9069830508474572,3.714473751991968,0.7966101694915254,0.18029357466491486,-3.8120677966101693,2.145164715452072,-4.298779661016948,3.4047517944718386
18,12,SVR,314,2.7588535031847132,3.583945891453475,0.856687898089172,0.16148839954742977,-3.7417515923566875,2.07289570732656,-4.7469745222929935,3.1004953507033437
18,12,MLP,292,2.710445205479452,3.5062711430759492,0.8013698630136986,0.183834601784417,-3.78167808219178,2.119264926307179,-3.976712328767123,3.2032037920937246
18,12,XGB,296,2.922195945945946,3.7329452269712675,0.8006756756756757,0.18326913046723284,-3.8146283783783788,2.141989602330498,-4.338783783783784,3.430014361605227
18,12,LinearRegression,284,2.8976056338028173,3.7234396486181174,0.926056338028169,0.21681738117158544,-3.7580985915492957,2.1191341352631388,-5.590633802816901,2.954699816689454
18,12,SVR,285,3.0137543859649125,3.867606358895437,0.9473684210526315,0.25144670261293284,-3.852245614035087,2.2911859817203055,-5.890350877192983,3.0023998383236528
18,12,MLP,273,2.805128205128205,3.6305230251160006,0.8681318681318682,0.2674480222116919,-3.8840659340659336,2.2643927832801842,-5.136007326007326,3.223359421987609
18,12,XGB,261,3.1715325670498085,3.947503842941551,0.8275862068965517,0.19299753464583783,-3.8480459770114943,2.254015491731717,-4.974291187739462,3.504712314246514
18,12,LinearRegression,296,2.873918918918919,3.789308751053523,0.8918918918918919,0.17593169319054516,-3.792297297297297,2.146899900294512,-5.3432432432432435,3.1139298444197263
18,12,SVR,294,2.9626870748299323,3.7550836743487546,0.9013605442176871,0.24630133408868382,-3.8157142857142854,2.1943444622592003,-5.4469047619047615,3.1704568885392796
18,12,MLP,292,3.2749657534246572,4.0790063505980445,0.8664383561643836,0.1975345391588949,-3.794075342465753,2.2131299121430135,-5.455479452054795,3.4655689173367565
18,12,XGB,271,3.264760147601476,4.038811021197284,0.8191881918819188,0.1471160665999914,-3.7576383763837637,2.2203020709359635,-4.746974169741697,3.568580251877901
24,18,LinearRegression,200,3.20865,3.9651076277952404,0.955,0.678669134614748,-2.5970999999999997,2.091442466337528,-5.65745,3.4186207741573207
24,18,SVR,201,3.211144278606965,4.2768288107681975,0.9552238805970149,0.4450482763487269,-2.6079104477611943,2.0917420224534884,-5.726417910447762,3.179795841951986
24,18,MLP,202,3.2254455445544554,3.954636957464811,0.9504950495049505,0.6828414550249906,-2.612524752475247,2.0867721205370464,-5.693910891089108,3.3794250861428607
24,18,XGB,200,3.23085,3.977942495813634,0.96,0.6714289508719,-2.5970999999999997,2.091442466337528,-5.68185,3.3806518716809633
24,18,LinearRegression,265,3.2723773584905658,4.239872995605873,0.7735849056603774,0.05325254080384839,-3.5233207547169814,2.2449391954919475,-4.542490566037736,3.5709768000527213
