Transition_Key,Predictor_Age,Target_Age,Metric,Feature_Space,Feature_Count,Model,Accuracy,Precision,Recall,F1_Score
Birth_to_6Months_BMI_S4_S6_Zscore_Only,Birth,6Months,BMI,Full_Feature_Space,3,Support_Vector_Classifier,0.8256,0.2784,0.3333,0.3034
Birth_to_6Months_BMI_S4_S6_Zscore_Only,Birth,6Months,BMI,Full_Feature_Space,3,Neural_Network_MLP,0.814,0.2778,0.3286,0.3011
6Months_to_12Months_Weight_S1_S5_All_Data,6Months,12Months,Weight,Full_Feature_Space,8,XGBoost_Classifier,0.8315,0.4602,0.4602,0.4602
6Months_to_12Months_Weight_S1_S5_All_Data,6Months,12Months,Weight,Full_Feature_Space,8,Support_Vector_Classifier,0.8427,0.462,0.4435,0.4499
6Months_to_12Months_Weight_S1_S5_All_Data,6Months,12Months,Weight,Full_Feature_Space,8,Neural_Network_MLP,0.8427,0.473,0.4858,0.4791
6Months_to_12Months_Weight_S1_S5_All_Data,6Months,12Months,Weight,AIC_Optimized_Space,4,XGBoost_Classifier,0.8876,0.6942,0.7294,0.7092
6Months_to_12Months_Weight_S1_S5_All_Data,6Months,12Months,Weight,AIC_Optimized_Space,4,Support_Vector_Classifier,0.8539,0.4971,0.4903,0.4933
6Months_to_12Months_Weight_S1_S5_All_Data,6Months,12Months,Weight,AIC_Optimized_Space,4,Neural_Network_MLP,0.8876,0.6861,0.7082,0.696
6Months_to_12Months_Weight_S1_S5_All_Data,6Months,12Months,Weight,BIC_Optimized_Space,1,XGBoost_Classifier,0.8764,0.8551,0.6403,0.7134
6Months_to_12Months_Weight_S1_S5_All_Data,6Months,12Months,Weight,BIC_Optimized_Space,1,Support_Vector_Classifier,0.8764,0.5026,0.5416,0.5198
6Months_to_12Months_Weight_S1_S5_All_Data,6Months,12Months,Weight,BIC_Optimized_Space,1,Neural_Network_MLP,0.8764,0.5044,0.5627,0.5277
6Months_to_12Months_Weight_S2_No_Zscores,6Months,12Months,Weight,Full_Feature_Space,2,XGBoost_Classifier,0.809,0.5817,0.571,0.5756
6Months_to_12Months_Weight_S2_No_Zscores,6Months,12Months,Weight,Full_Feature_Space,2,Support_Vector_Classifier,0.8652,0.5154,0.4314,0.4503
6Months_to_12Months_Weight_S2_No_Zscores,6Months,12Months,Weight,Full_Feature_Space,2,Neural_Network_MLP,0.809,0.4055,0.4089,0.4069
6Months_to_12Months_Weight_S2_No_Zscores,6Months,12Months,Weight,AIC_Optimized_Space,1,XGBoost_Classifier,0.809,0.7383,0.571,0.6267
6Months_to_12Months_Weight_S2_No_Zscores,6Months,12Months,Weight,AIC_Optimized_Space,1,Support_Vector_Classifier,0.8315,0.2772,0.3333,0.3027
